yǒng 埇 yǒng
yǒng 恿 yǒng
yǒng 栐 yǒng
yǒng 永 yǒng
yǒng 泳 yǒng
yǒng 涌 yǒng
yǒng 甬 yǒng
yǒng 蛹 yǒng
yǒng 踊 yǒng
yǒng 鲬 yǒng
yāo 㙘 yāo
yāo 吆 yāo
yāo 夭 yāo
yāo 妖 yāo
yāo 幺 yāo
yāo 腰 yāo
yāo 邀 yāo
yǎo 咬 yǎo
yǎo 崾 yǎo
yǎo 杳 yǎo
yǎo 窅 yǎo
yǎo 窈 yǎo
yǎo 舀 yǎo
yōu 优 yōu
yōu 呦 yōu
yōu 幽 yōu
yōu 忧 yōu
yōu 悠 yōu
yōu 攸 yōu
yōu 耰 yōu
yōu 麀 yōu
yǒu 卣 yǒu
yǒu 友 yǒu
yǒu 有 yǒu
yǒu 槱 yǒu
yǒu 牖 yǒu
yǒu 羑 yǒu
yǒu 莠 yǒu
yǒu 酉 yǒu
yǒu 铕 yǒu
yǒu 黝 yǒu
